exposure.id	exposure.trait	exposure.sample_size	exposure.sex	outcome.id	outcome.sample_size	N_case	mr.pval	mr.b	mr.se
ieu-a-974	Body mass index	171977.0	Females	ieu-a-1137	22068.0	4480	0.136691240140058	-0.340876699272078	0.229048978396313
ieu-a-974	Body mass index	171977.0	Females	ieu-a-1134	21814.0	4226	0.534507047776342	-0.18708705177014	0.298041971311862
ieu-a-974	Body mass index	171977.0	Females	ukb-a-519	337199.0	5510	0.0127552546578531	-0.00465235705379436	0.00177488140692406
ieu-a-974	Body mass index	171977.0	Females	ukb-a-55	337159.0	7480	0.00350527249008548	-0.00740217337170369	0.00236868407380207
ieu-a-974	Body mass index	171977.0	Females	ieu-a-1126	228951.0	122977	9.78811784289222e-13	-0.788037146309407	0.110470631642082
ieu-a-974	Body mass index	171977.0	Females	ieu-a-1135	55149.0	9655	0.501190424511583	-0.148530792185899	0.21806424107957
ieu-a-974	Body mass index	171977.0	Females	ieu-a-1136	50225.0	7333	0.732314487264105	-0.100712778310603	0.291708529280043
ieu-a-974	Body mass index	171977.0	Females	ieu-a-1131	32498.0	14910	0.00272960658330631	-0.61998710507163	0.19037020270775
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ieu-a-1135	55149.0	9655	0.133906815402148	-0.478076551212872	0.316918914681745
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ieu-a-1136	50225.0	7333	0.209523707320875	-0.45488764347725	0.360658607549203
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ieu-a-1131	32498.0	14910	0.000107390438523857	-1.20153205340025	0.301439433761502
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ieu-a-1137	22068.0	4480	0.00144893014506175	-0.880704727171528	0.276540515895239
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ieu-a-1134	21814.0	4226	0.46552666232358	-0.353375665915333	0.482908848857639
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ieu-a-1127	175475.0	69501	6.60998200864788e-08	-0.402564787382738	0.0705997744278241
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ieu-a-1128	127442.0	21468	0.206484747541198	-0.40093384865561	0.315724711273706
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ieu-a-1129	106776.0	61282	0.000237619734862215	-0.632329897979709	0.16707483517323
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ieu-a-1130	89677.0	46785	0.00391734539143008	-0.327435438832563	0.113505969574968
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ieu-a-1132	83691.0	38197	0.00141635631206149	-0.549813196842198	0.168279455131909
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ieu-a-1133	69970.0	27078	0.0512188784874211	-0.510786013792276	0.259514097849489
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ukb-a-519	337199.0	5510	0.383194454854313	-0.00612902607937524	0.00700624221197943
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ukb-a-55	337159.0	7480	0.202355759197632	-0.0111758100040721	0.00872484899396317
ukb-a-34	Comparative body size at age 10	331693.0	Males and Females	ieu-a-1126	228951.0	122977	2.22694111460153e-05	-0.536389005598179	0.121197612241338
ukb-a-35	Comparative height size at age 10	332021.0	Males and Females	ukb-a-519	337199.0	5510	0.774057442554589	-0.00143254642155335	0.00498613867267805
ukb-a-35	Comparative height size at age 10	332021.0	Males and Females	ukb-a-55	337159.0	7480	0.118815918085642	0.00320374376666257	0.00205399406210783
ukb-a-35	Comparative height size at age 10	332021.0	Males and Females	ieu-a-1126	228951.0	122977	0.205345985551964	0.0554336860663453	0.043770340662001
ukb-a-35	Comparative height size at age 10	332021.0	Males and Females	ieu-a-1127	175475.0	69501	0.116329566477471	0.0859012618547952	0.0547013643754348
ukb-a-35	Comparative height size at age 10	332021.0	Males and Females	ieu-a-1128	127442.0	21468	0.506395181661057	0.0453869225396765	0.0683063560922946
ukb-a-35	Comparative height size at age 10	332021.0	Males and Females	ieu-a-1129	106776.0	61282	0.485655894505039	0.119106446654447	0.170640790430816
ukb-a-35	Comparative height size at age 10	332021.0	Males and Females	ieu-a-1135	55149.0	9655	0.222805847660408	0.238409073418561	0.195203857167855
ukb-a-35	Comparative height size at age 10	332021.0	Males and Females	ieu-a-1136	50225.0	7333	0.871616288386719	-0.0120440349226712	0.0745272434915614
